id,age,gender,revenue,join_date,status,country,score
1,58,male,23278,08/04/2022,active,USA,67.67
2,52,male,97397,Jan 1 2023,active,Canada,23.27
3,56,Male,93563,2021-12-21,pending,France,41.95
4,46,N/A,56463,23/03/2020,inactive,UK,27.79
5,31,female,33396,Jul 4 2020,inactive,UK,60.37
6,69,Male,80217,2024-02-13,active,France,29.32
7,58,N/A,67400,23/04/2024,active,USA,66.13
8,67,Female,30458,Feb 13 2021,inactive,Germany,63.57
9,41,M,68520,2022-04-22,inactive,USA,60.91
10,28,Other,52087,13/08/2021,inactive,France,21.96
11,38,Male,50021,Jun 13 2020,inactive,USA,21.1
12,54,female,47869,2023-07-21,inactive,Canada,26.49
13,33,Other,90644,19/12/2022,inactive,France,39.94
14,32,M,86784,Feb 25 2023,active,USA,15.28
15,28,n/a,75333,2024-02-13,inactive,France,99.61
16,51,Female,92512,24/11/2020,active,France,75.09
17,67,n/a,$64587,May 14 2020,active,Germany,0.32
18,64,Female,85612,2021-09-04,pending,UK,84.17
19,50,N/A,46071,25/06/2021,active,France,95.35
20,51,Male,98504,Aug 1 2022,active,UK,87.87
21,69,Female,51385,2020-04-19,active,USA,73.19
22,70,male,89822,22/03/2021,inactive,France,16.51
23,51,N/A,75461,Sep 25 2021,pending,Canada,71.29
24,43,n/a,68944,2023-09-15,active,Canada,22.47
25,39,Male,97110,19/04/2024,active,USA,7.1
26,58,Male,50007,Jan 28 2020,inactive,USA,51.42
27,35,n/a,83624,2021-09-05,pending,France,57.62
28,33,f,73354,04/02/2021,pending,Germany,35.43
29,44,f,27100,Jan 13 2020,pending,UK,80.06
30,24,m,45112,2021-09-15,active,Germany,18.35
31,47,m,N/A,26/08/2020,pending,USA,5.06
32,52,Male,32224,Mar 14 2021,inactive,Germany,21.37
33,43,Male,41579,2023-01-13,inactive,Germany,28.52
34,62,Other,$83788,10/04/2021,active,USA,57.92
35,52,Male,61104,Jan 19 2020,inactive,France,91.94
36,51,M,27455,2024-02-28,active,USA,59.5
37,N/A,n/a,50828,19/02/2023,active,France,59.45
38,57,male,74948,Oct 17 2024,inactive,UK,20.43
39,63,female,51285,2022-07-05,pending,UK,45.72
40,66,male,-9999,20/08/2020,pending,USA,7.33
41,31,Other,54760,Jun 3 2021,active,UK,28.5
42,46,Other,59651,2024-11-17,active,France,29.94
43,60,male,37601,04/02/2022,pending,France,15.54
44,36,N/A,47607,Apr 22 2022,pending,UK,50.54
45,34,Male,32097,2023-05-02,active,UK,77.11
46,58,Female,41178,23/09/2023,inactive,France,0.97
47,22,M,91511,Jun 19 2020,pending,Canada,42.98
48,20,Female,67795,2020-06-07,pending,Canada,66.69
49,40,Other,73264,05/12/2024,active,Canada,97.62
50,999,M,74040,Mar 24 2020,inactive,Germany,80.22
51,65,m,$54970,2021-12-04,inactive,USA,85.86
52,32,m,80332,27/05/2022,active,Canada,2.37
53,30,F,63025,Feb 25 2022,inactive,UK,64.15
54,43,n/a,90282,2022-01-04,inactive,Canada,58.06
55,34,Male,34208,12/07/2024,pending,UK,43.64
56,50,male,70488,Apr 9 2024,active,Germany,0.17
57,69,Other,45825,2022-07-03,pending,UK,62.32
58,60,male,59363,22/05/2024,inactive,UK,40.24
59,36,Other,36683,Jul 22 2021,inactive,Canada,61.55
60,37,F,91819,2020-05-10,active,Germany,78.58
61,56,n/a,62237,15/08/2023,pending,Canada,51.12
62,68,M,N/A,May 17 2020,pending,France,33.52
63,70,m,60687,2021-04-05,active,USA,24.48
64,48,N/A,29545,21/07/2023,pending,Canada,71.83
65,42,f,72383,Mar 21 2021,pending,USA,89.27
66,67,male,75724,2021-03-26,pending,France,46.45
67,53,m,35906,26/03/2023,inactive,France,98.79
68,56,female,$78008,Dec 17 2024,inactive,France,44.59
69,28,f,78991,2022-04-27,pending,UK,76.58
70,51,f,51358,03/08/2022,pending,UK,23.45
71,39,female,90798,Mar 5 2020,active,Germany,69.39
72,63,m,28418,2023-07-11,pending,Germany,41.58
73,31,F,71049,01/12/2024,pending,Germany,47.7
74,N/A,female,59139,Jul 18 2023,pending,France,79.99
75,32,f,48760,2022-07-16,active,Germany,33.61
76,61,F,41632,20/03/2023,pending,USA,90.69
77,55,N/A,23552,Nov 14 2020,active,Germany,18.17
78,34,F,62906,2021-08-11,inactive,Germany,27.83
79,44,Female,30735,24/01/2023,pending,USA,99.99
80,40,m,-9999,Nov 2 2020,active,Canada,19.94
81,19,N/A,39973,2021-03-16,pending,USA,56.4
82,31,f,53586,20/03/2022,pending,USA,77.78
83,28,Female,34168,Jan 10 2024,pending,Germany,39.67
84,63,m,29961,2024-12-27,pending,Canada,10.19
85,67,Female,$98697,26/10/2020,active,UK,53.27
86,60,female,29038,Nov 11 2024,active,Germany,82.23
87,24,F,67472,2023-12-05,inactive,Canada,73.38
88,59,Female,90539,14/08/2023,pending,France,26.84
89,33,male,56559,Apr 25 2023,inactive,France,61.03
90,42,female,23761,2023-06-06,inactive,Canada,35.48
91,34,female,56655,09/12/2024,pending,USA,51.66
92,30,male,51635,Aug 18 2023,active,Germany,64.59
93,49,f,N/A,2020-02-10,active,Germany,69.18
94,37,n/a,96225,18/08/2022,pending,UK,42.55
95,65,Other,63357,Dec 15 2022,inactive,UK,25.14
96,25,m,61359,2020-12-18,pending,Canada,19.15
97,65,f,56241,20/09/2024,inactive,USA,83.26
98,36,m,67301,May 1 2021,pending,France,12.66
99,20,Male,92529,2022-12-05,pending,Germany,10.26
100,999,Male,95243,16/08/2022,inactive,UK,18.44
101,21,Female,82616,Feb 13 2020,inactive,USA,57.7
102,61,Male,$39887,2021-10-10,active,Canada,11.85
103,66,F,99471,08/10/2024,pending,Germany,45.05
104,46,Female,97139,May 19 2023,pending,USA,60.96
105,65,male,47235,2021-05-22,active,Canada,23.99
106,53,male,40517,15/07/2020,pending,France,46.99
107,20,m,57762,Dec 28 2022,inactive,USA,68.74
108,34,n/a,97304,2021-07-04,pending,Canada,64.76
109,35,M,29359,26/03/2020,inactive,France,74.9
110,54,Female,77560,Aug 23 2020,inactive,Germany,94.27
111,N/A,Other,90776,2023-08-03,pending,USA,88.94
